tweet_id,sentiment_value,ortographic_value,bad_words_value,spam_value,text_credibility
552784600502915072,0.0,0,1,1,0.5
552784898743099392,0.0,1,1,0,0.5
552785391653494784,0.0,0,1,1,0.5
552786116404072448,0.0,0,1,0,0.25
552786299875520512,0.0,0,1,1,0.5
552786340958715904,0.0,0,1,1,0.5
552787144373460992,0.0,0,1,1,0.5
552787144415404032,0.0,0,1,1,0.5
552787321561812992,0.0,1,1,1,0.75
552787361437057024,0.0,1,1,1,0.75
552787599031828480,0.0,0,1,1,0.5
552787914271510529,0.0,0,1,1,0.5
552788007603142656,0.0,1,1,1,0.75
552788555584765952,0.0,0,1,1,0.5
552788720236376064,0.0,1,1,0,0.5
552789196906459136,0.0,1,1,1,0.75
552789252690706432,0.0,0,1,1,0.5
552789443644751872,0.0,0,1,1,0.5
552789550238801920,0.0,1,1,0,0.5
552789583260577792,0.0,0,1,0,0.25
552789886202175490,0.0,1,1,1,0.75
552790565642067968,0.0,1,1,1,0.75
552790598823186432,1.0,1,1,1,1.0
552790695036321793,0.0,0,1,1,0.5
552791159232540673,0.0,0,1,1,0.5
552791203432103937,0.0,1,1,0,0.5
552791332935434242,0.0,0,1,1,0.5
552791414388424704,0.0,1,1,1,0.75
552791678881660928,0.0,1,0,1,0.5
552791719272775680,0.5,0,1,1,0.625
552791831390732289,0.5,0,1,1,0.625
552792131447037952,0.0,0,1,1,0.5
552792253601947648,0.0,1,1,1,0.75
552792518870708224,0.0,0,1,1,0.5
552793409438904321,0.0,0,1,1,0.5
552793759210307584,0.0,0,1,1,0.5
552794286849536001,0.0,0,1,1,0.5
552794514424102913,0.0,0,1,1,0.5
552794995942772736,0.0,0,1,1,0.5
552795056080691200,0.0,0,1,0,0.25
552795778922864640,1.0,0,1,1,0.75
552795953301045248,0.0,1,1,1,0.75
552796269069209600,0.5,1,1,1,0.875
552796506642591744,0.0,0,1,1,0.5
552796522904297472,0.0,0,1,1,0.5
552796619104866304,0.5,0,1,1,0.625
552796625467621376,0.0,1,1,1,0.75
552796895513681920,0.0,1,1,1,0.75
552797058990870528,0.0,0,1,1,0.5
552797114863198208,1.0,1,1,1,1.0
552797148975464448,0.0,0,1,1,0.5
552797154692300800,0.0,0,1,1,0.5
552797170295144449,0.5,0,1,1,0.625
552797729504886784,0.0,0,1,1,0.5
552797828977029120,0.0,0,1,1,0.5
552798010196107264,0.0,0,1,1,0.5
552798016646942721,0.0,0,1,1,0.5
552798200990806016,0.0,0,1,1,0.5
552798310889566209,0.0,0,1,1,0.5
552798640679702528,0.0,0,1,1,0.5
552798832359374849,0.0,0,1,1,0.5
552799100715167744,0.0,1,1,0,0.5
552799606833430528,0.0,0,1,1,0.5
552799669521481728,0.0,0,1,1,0.5
552800070199148544,0.0,0,1,1,0.5
552800222553079809,0.0,0,1,1,0.5
552800223496790018,0.5,0,1,1,0.625
552800290861510656,0.0,1,1,1,0.75
552800929519792128,0.0,0,1,1,0.5
552801028262096896,0.0,0,1,1,0.5
552801115516186625,0.0,0,1,1,0.5
552801667855695873,0.0,1,1,1,0.75
552801724898226176,0.0,1,1,1,0.75
552801894092275712,0.0,0,1,1,0.5
552801979861598208,0.0,0,1,1,0.5
552802011733716992,0.0,0,1,0,0.25
552802098602319873,0.5,1,1,1,0.875
552802099331735552,0.0,0,1,1,0.5
552802117908697088,0.0,0,1,1,0.5
552802515969138688,0.0,0,1,1,0.5
552802531672588288,0.0,0,1,1,0.5
552802714816905216,0.0,0,1,1,0.5
552803413583360001,0.0,0,1,1,0.5
552803431702749184,0.0,0,1,1,0.5
552803757864787968,0.0,0,1,1,0.5
552803792618799106,0.0,1,1,1,0.75
552804175310901248,0.0,1,1,1,0.75
552804198161854464,0.0,0,1,1,0.5
552804301316579330,0.0,0,1,1,0.5
552804328319504384,0.0,0,1,1,0.5
552804454773567488,0.0,0,1,1,0.5
552804491821854720,0.0,0,1,1,0.5
552804592988479488,0.0,0,1,1,0.5
552804769241526272,0.0,1,0,1,0.5
552804784819154944,0.0,0,1,1,0.5
552804810463117312,0.0,0,1,1,0.5
552804962158514176,0.0,0,1,0,0.25
552805050620604418,0.0,1,1,1,0.75
552805069956329472,0.0,0,1,1,0.5
552805169206157312,0.5,0,1,1,0.625
552805175874686977,0.0,0,1,1,0.5
552805209424941058,0.5,0,1,1,0.625
552805450350362625,0.0,0,1,1,0.5
552805638024077312,1.0,1,1,1,1.0
552805799106732032,0.0,0,1,1,0.5
552805830677258240,0.0,0,1,0,0.25
552805853762699264,1.0,0,1,1,0.75
552805956619628544,0.0,1,1,1,0.75
552805970536333314,0.0,0,1,1,0.5
552806056154644480,0.0,0,0,1,0.25
552806077755326464,1.0,0,1,1,0.75
552806462125506560,0.0,1,1,1,0.75
552806610490646528,0.0,0,1,1,0.5
552806624046641153,0.0,0,1,1,0.5
552806890498191361,0.0,0,1,1,0.5
552806932176977920,0.0,0,0,1,0.25
552807013764575232,0.0,1,1,1,0.75
552807054268956673,0.0,0,1,0,0.25
552807071054184448,0.0,0,1,1,0.5
552807101442322432,0.0,0,1,1,0.5
552807191775043585,0.0,1,1,1,0.75
552807236339507200,0.0,0,1,1,0.5
552807328287064065,0.0,0,1,1,0.5
552807536894947329,1.0,0,1,1,0.75
552807582113730560,0.5,0,1,1,0.625
552807598966059008,0.0,1,1,1,0.75
552807658869493760,0.5,0,1,1,0.625
552807783385800705,0.0,0,1,1,0.5
552807832257835008,1.0,1,1,1,1.0
552807874192482305,0.0,0,1,1,0.5
552807904597008385,0.0,0,1,1,0.5
552808135006887937,0.5,0,0,1,0.375
552808138127446016,0.0,0,1,1,0.5
552808242276229120,0.0,0,0,1,0.25
552808461940301825,0.0,0,1,1,0.5
552808487924011008,0.0,1,1,1,0.75
552808658510561280,0.0,0,1,1,0.5
552808669646036992,1.0,1,1,1,1.0
552808701065953280,0.0,0,1,1,0.5
552808776492130304,0.0,0,1,1,0.5
552808785329549313,0.0,0,1,1,0.5
552809042687819776,0.0,0,1,1,0.5
552809336360419329,0.0,0,1,1,0.5
552809902956367872,0.0,0,1,1,0.5
552810032765497345,0.0,0,1,1,0.5
552810124776308736,0.0,0,1,1,0.5
552810166744547328,0.0,0,1,1,0.5
552810249263259649,0.0,0,1,1,0.5
552810276635291649,0.0,1,1,1,0.75
552810287695659009,0.0,0,1,1,0.5
552810359409897472,0.0,0,1,1,0.5
552810477940932609,0.0,0,1,1,0.5
552810625873633280,0.0,0,1,1,0.5
552810805243412481,0.0,0,1,1,0.5
552810855503757313,0.0,1,1,1,0.75
552810884029222912,0.0,0,1,1,0.5
552811128326475776,0.0,0,1,1,0.5
552811254667288576,0.0,1,1,1,0.75
552811319079227393,0.0,0,1,1,0.5
552811354323963904,0.5,0,1,1,0.625
552811408094945280,0.0,1,1,1,0.75
552811438994378754,0.0,0,1,1,0.5
552811533303296001,0.0,0,1,1,0.5
552811606640721921,0.0,0,1,1,0.5
552811735183552512,0.0,0,1,1,0.5
552811772038881280,0.0,1,1,1,0.75
552812020295532544,0.5,0,1,1,0.625
552812040926941185,0.0,0,1,1,0.5
552812098057936896,0.0,0,1,1,0.5
552812140479148032,0.0,0,1,1,0.5
552812188315172864,0.0,0,1,1,0.5
552812399997489152,0.0,0,1,1,0.5
552812416485294080,0.0,1,1,1,0.75
552812475134275584,0.0,0,1,1,0.5
552812572731527168,0.0,0,1,1,0.5
552812623658762240,0.0,0,1,1,0.5
552812775907422209,0.0,0,1,1,0.5
552812811651272705,0.0,0,1,1,0.5
552812847651377153,0.0,0,0,1,0.25
552812951208722432,0.0,0,1,1,0.5
552812984343330816,0.0,0,1,1,0.5
552813011803836416,0.0,0,1,1,0.5
552813155572006912,0.0,1,1,1,0.75
552813160110252032,0.0,0,1,1,0.5
552813223360352256,0.0,1,1,1,0.75
552813420136128513,1.0,0,1,1,0.75
552813590919778304,0.0,0,1,1,0.5
552813988644659200,0.0,1,1,1,0.75
552814076167213056,0.0,0,1,1,0.5
552814130827370498,1.0,0,1,1,0.75
552814137857036289,0.0,0,1,1,0.5
552814213081866240,0.0,1,1,1,0.75
552814216550563840,0.0,0,1,0,0.25
552814280471367680,0.0,0,1,1,0.5
552814317096407040,0.0,0,1,0,0.25
552814382338826240,0.0,0,0,1,0.25
552814410763603968,0.0,0,1,1,0.5
552814460193476609,0.5,0,1,1,0.625
552814566594576386,0.0,0,1,1,0.5
552814627399012352,0.0,0,1,1,0.5
552814766369284097,0.0,0,1,1,0.5
552814770542628865,0.0,0,1,1,0.5
552814845016694786,0.0,0,1,1,0.5
552814916567322624,0.5,0,1,1,0.625
552814974511628289,0.5,1,1,1,0.875
552814978823385088,0.0,1,1,1,0.75
552814983797821440,0.0,1,1,1,0.75
552815017402589184,0.0,0,1,1,0.5
552815091331366912,0.0,1,1,1,0.75
552815122897727488,0.0,1,1,1,0.75
552815293349650433,0.0,0,1,0,0.25
552815332931665921,0.0,0,1,1,0.5
552815387759616000,0.0,0,1,1,0.5
552815443959091200,0.0,1,1,0,0.5
552815575672836096,0.0,1,1,1,0.75
552815682241691648,0.0,1,1,1,0.75
552815712327454720,1.0,1,1,1,1.0
552815712432316417,0.0,0,1,1,0.5
552815993165467649,0.0,0,1,1,0.5
552816010752167936,0.0,1,1,1,0.75
552816062593761280,0.0,0,0,1,0.25
552816233796894720,0.0,0,1,1,0.5
552816288612225024,0.0,1,1,1,0.75
552816288935202817,0.0,0,1,1,0.5
552816497740251136,0.0,0,1,1,0.5
552816539175763969,1.0,0,1,1,0.75
552816561514635264,0.0,0,1,1,0.5
552816590463315968,0.0,0,1,1,0.5
552816686752358401,0.0,1,1,1,0.75
552816689386373121,0.0,1,1,1,0.75
552816883012239360,0.0,0,0,1,0.25
552816933851394048,0.0,0,1,1,0.5
552817061203050496,0.0,0,1,1,0.5
552817146166652928,0.0,0,1,1,0.5
552817151112142848,0.0,0,1,0,0.25
552817205982019584,0.0,0,1,1,0.5
552817293969739778,0.0,0,1,1,0.5
552817367995002880,0.0,0,1,1,0.5
552817391181103104,0.0,1,1,1,0.75
552817490263572480,0.0,0,1,1,0.5
552817675408523264,0.0,0,1,1,0.5
552817711617552385,0.5,0,1,1,0.625
552817759684665345,0.0,0,1,1,0.5
552817769604198400,0.0,0,1,1,0.5
552817783910961152,0.0,1,1,1,0.75
552817785949396992,0.0,0,1,1,0.5
552817918220984320,0.0,1,1,1,0.75
552818300041052160,0.5,1,1,1,0.875
552818301530025984,0.0,0,1,1,0.5
552818309050421250,0.0,0,1,1,0.5
552818334643658752,1.0,0,1,1,0.75
552818368487911425,0.0,0,1,1,0.5
552818685526933505,0.0,0,1,1,0.5
552818799095730176,0.0,1,1,1,0.75
552818868604129280,0.5,0,1,1,0.625
552818870281850881,0.0,1,1,1,0.75
552818922798727168,0.0,0,1,1,0.5
552818988468944897,0.0,0,1,1,0.5
552819064301961216,0.0,0,1,1,0.5
552819155859431424,0.0,0,1,1,0.5
552819208212717568,0.0,0,1,1,0.5
552819316702199811,0.0,0,1,1,0.5
552819350504493057,0.0,0,1,1,0.5
552819474320359425,0.0,0,1,1,0.5
552819569103220736,0.0,0,1,1,0.5
552819649599897601,0.0,0,1,1,0.5
552819824007872512,0.5,0,1,1,0.625
552819936343883776,0.0,0,1,1,0.5
552819983915700224,0.0,0,1,1,0.5
552819986834923520,0.0,0,1,1,0.5
552820025409941506,0.0,0,1,1,0.5
552820150345297921,0.0,0,1,0,0.25
552820156980670464,0.0,0,1,1,0.5
552820265994829824,0.0,1,1,1,0.75
552820331204055041,0.0,0,1,1,0.5
552820384039706624,0.0,0,1,1,0.5
552820533507944448,0.0,0,1,0,0.25
552820575752974336,0.5,0,1,0,0.375
552820735513612288,0.0,1,1,1,0.75
552820842544246784,0.0,0,1,1,0.5
552820930419109888,0.0,0,1,1,0.5
552821030117711872,0.0,0,1,1,0.5
552821050145513472,0.0,0,1,1,0.5
552821223676444672,0.5,0,1,1,0.625
552821282447040513,0.0,0,1,1,0.5
552821437678223361,0.0,0,1,1,0.5
552821570423771136,0.0,1,1,1,0.75
552821573946982401,0.0,0,1,1,0.5
552821659103940608,0.0,1,1,0,0.5
552821730100924417,0.0,0,1,1,0.5
552821810224304128,0.0,1,1,1,0.75
552821810572439553,0.0,0,1,1,0.5
552821862850637825,0.0,0,1,1,0.5
552821977061556225,0.0,0,1,1,0.5
552821991850668032,0.0,0,1,1,0.5
552822043490938881,0.0,0,1,1,0.5
552822076676255744,0.0,0,1,1,0.5
552822314157768704,0.0,1,1,1,0.75
552822330141851649,0.0,0,1,1,0.5
552822450824962048,0.0,0,1,1,0.5
552822465047437314,0.0,0,1,1,0.5
552822544341139458,0.0,1,1,1,0.75
552822566726164481,0.0,0,1,1,0.5
552822604206460928,0.0,1,1,1,0.75
552822718115373057,0.5,1,1,0,0.625
552822739388882944,0.0,0,1,1,0.5
552822783311630336,0.5,0,1,1,0.625
552822812281692160,1.0,1,1,1,1.0
552822841541144577,1.0,1,1,1,1.0
552822873773993984,0.0,0,1,1,0.5
552822887988883457,0.0,0,1,1,0.5
552822944603582464,1.0,0,1,1,0.75
552823014866563072,0.0,1,1,1,0.75
552823029680852992,0.0,0,1,0,0.25
552823108537954306,0.0,0,1,1,0.5
552823186966855680,0.0,0,1,1,0.5
552823198484819969,0.0,0,1,1,0.5
552823301899575296,0.0,1,0,1,0.5
552823427862908928,0.0,1,1,1,0.75
552823691500072960,0.0,0,1,1,0.5
552823829333291010,0.0,0,0,1,0.25
552823933381394432,0.0,1,1,1,0.75
552823940440403968,0.0,1,1,1,0.75
552823949311369216,1.0,1,1,1,1.0
552823984358977536,0.0,0,1,1,0.5
552824126659104771,0.0,0,1,1,0.5
552824162969210880,0.5,0,1,1,0.625
552824163841638400,0.0,0,1,0,0.25
552824320389435392,0.0,1,1,1,0.75
552824383816073216,0.0,1,1,1,0.75
552824456557887488,0.0,0,1,1,0.5
552824462958395392,0.0,0,1,1,0.5
552824705703763969,0.0,0,1,0,0.25
552824742097719296,0.0,1,1,1,0.75
552824769754976257,0.0,1,1,1,0.75
552824885484224513,0.0,1,1,1,0.75
552825083941879808,0.0,0,1,1,0.5
552825211654246401,0.0,1,1,1,0.75
552825236715208707,0.0,0,1,1,0.5
552825257707335680,0.0,1,1,1,0.75
552825303341740032,0.0,0,1,1,0.5
552825402872590336,0.0,1,0,0,0.25
552825459546030080,0.0,0,1,1,0.5
552825473160736768,0.0,0,1,1,0.5
552825512708808704,0.0,0,1,0,0.25
552825664307744769,0.0,0,1,1,0.5
552825739075022848,0.0,0,1,1,0.5
552825783337897984,0.0,0,1,1,0.5
552825844755083265,0.0,0,1,0,0.25
552826060455550976,0.0,1,1,1,0.75
552826150141960192,0.0,0,1,1,0.5
552826238407294977,0.0,1,1,1,0.75
552826270866616320,0.0,0,1,1,0.5
552826443965927425,0.0,0,1,1,0.5
552826524467216385,0.0,0,1,1,0.5
552826580741795840,0.0,0,1,1,0.5
552826581916594178,0.0,0,1,1,0.5
552826724774592512,0.0,0,1,1,0.5
552826876398292992,0.0,0,1,1,0.5
552826992509599744,0.0,1,1,1,0.75
552827008800280576,0.0,0,1,0,0.25
552827029692104706,0.0,0,1,1,0.5
552827117663436801,0.0,0,1,1,0.5
552827123963281408,0.0,0,1,0,0.25
552827133500719104,0.0,1,1,1,0.75
552827164677373952,0.5,0,1,1,0.625
552827349667176448,0.0,0,1,1,0.5
552827553493565441,0.0,0,1,1,0.5
552827606715076608,0.0,0,1,1,0.5
552827757164371968,0.0,0,1,1,0.5
552827819521085441,0.0,0,1,1,0.5
552827825603219456,0.0,0,1,1,0.5
552827848734830592,0.0,0,0,1,0.25
552827966950866945,0.0,0,1,1,0.5
552827979093385216,0.0,0,1,1,0.5
552827981069291520,0.5,0,1,1,0.625
552828280806850561,0.0,0,1,1,0.5
552828308744699904,0.0,0,1,1,0.5
552828400843620353,0.0,1,1,1,0.75
552828504060874752,0.0,0,1,1,0.5
552828573896413185,1.0,0,1,1,0.75
552828811344359425,0.0,1,1,1,0.75
552828872379875328,0.0,0,1,1,0.5
552829011983089664,0.0,0,0,1,0.25
552829031075553281,0.0,0,1,1,0.5
552829046485434368,0.0,1,1,1,0.75
552829082388660224,0.0,0,1,1,0.5
552829096816693248,0.0,0,1,1,0.5
552829129356496896,0.0,1,1,1,0.75
552829176018112513,0.0,1,1,0,0.5
552829217134505985,0.0,0,1,1,0.5
552829306439598080,0.0,0,1,1,0.5
552829395690201088,0.0,0,1,1,0.5
552829396265230336,0.0,0,1,1,0.5
552829481962835969,0.0,1,1,1,0.75
552829571750715392,0.0,0,1,0,0.25
552829622128500736,0.5,1,1,1,0.875
552829637215408128,0.0,1,1,1,0.75
552829734502297600,0.0,0,1,1,0.5
552829904396775425,0.0,0,1,1,0.5
552829971631472640,0.0,0,1,1,0.5
552830151650967552,0.0,0,1,1,0.5
552830433688571904,0.0,0,1,1,0.5
552830459273809920,0.0,0,1,1,0.5
552830521340723200,0.0,0,1,1,0.5
552830599002857472,0.0,0,1,1,0.5
552830668607348736,0.0,1,1,1,0.75
552830674357334016,0.0,0,1,1,0.5
552830781656428544,0.0,1,1,1,0.75
552830850279424001,0.0,0,1,1,0.5
552830862585503746,0.5,1,1,1,0.875
552830966411321344,0.0,0,1,1,0.5
552831101312303104,0.0,1,1,1,0.75
552831107985858560,0.0,1,1,1,0.75
552831197420994560,0.0,0,1,1,0.5
552831230735962113,0.0,1,1,1,0.75
552831266945794048,0.5,1,1,1,0.875
552831420197261314,0.5,1,1,1,0.875
552831460236099586,0.0,1,1,1,0.75
552831506041683970,0.0,0,1,1,0.5
552831515940634624,0.0,1,1,1,0.75
552831524002103297,0.0,0,1,1,0.5
552831624283693056,0.0,0,1,1,0.5
552831705351225344,0.0,0,1,1,0.5
552831761957523456,0.0,0,1,1,0.5
552831842232324097,0.0,1,1,0,0.5
552831974784905216,0.0,1,1,0,0.5
552831978522021890,0.0,0,1,1,0.5
552832019940376576,0.5,1,1,1,0.875
552832142397296641,0.0,1,1,1,0.75
552832169496694786,0.0,0,1,1,0.5
552832177138696192,0.0,0,1,1,0.5
552832232197746688,0.0,1,1,1,0.75
552832291601674240,0.0,1,1,1,0.75
552832584045330432,0.0,1,1,1,0.75
552832721945628672,0.0,1,1,1,0.75
552832738542514176,0.0,0,0,1,0.25
552832784046108672,0.0,0,1,1,0.5
552832996676730881,0.0,0,1,1,0.5
552833148128862208,0.0,0,1,1,0.5
552833197084778496,0.0,1,1,1,0.75
552833236389199874,0.0,0,1,1,0.5
552833268362772481,0.0,0,1,1,0.5
552833393734721537,0.0,0,1,1,0.5
552833432540430337,0.0,1,1,1,0.75
552833483325059072,0.0,0,1,1,0.5
552833527444566016,0.0,0,1,1,0.5
552833658017824768,0.0,1,1,1,0.75
552833662593400833,0.0,0,1,0,0.25
552833681111658496,0.0,1,1,0,0.5
552833795142209536,0.5,0,1,1,0.625
552833941930274816,1.0,1,1,1,1.0
552833942777511937,0.0,1,1,1,0.75
552834033600966657,0.0,0,1,0,0.25
552834182905221121,0.0,1,1,1,0.75
552834229722038273,0.0,0,1,1,0.5
552834411553886209,0.5,1,1,1,0.875
552834481183539201,0.0,0,1,1,0.5
552834501383290880,0.0,1,1,1,0.75
552834558706847745,0.0,0,1,1,0.5
552834559297867778,0.0,1,1,1,0.75
552834623944671232,0.5,0,1,1,0.625
552834640692912128,0.0,1,1,1,0.75
552834732325879809,0.0,0,1,1,0.5
552834754056556544,0.0,1,1,1,0.75
552834808121163776,0.0,0,1,1,0.5
552834842837409793,0.0,0,1,1,0.5
552834996265054208,0.0,0,1,1,0.5
552835109372825601,0.5,0,1,1,0.625
552835209285337089,0.0,1,0,1,0.5
552835221859483649,0.0,0,1,1,0.5
552835288725061635,0.0,0,1,1,0.5
552835301547442176,0.0,0,1,1,0.5
552835339325558785,0.0,0,1,1,0.5
552835385043062784,0.0,1,1,1,0.75
552835794646212608,0.0,0,1,1,0.5
552835854750605313,1.0,0,1,1,0.75
552835988540895232,0.5,0,1,1,0.625
552836095332081664,0.0,0,1,1,0.5
552836100814032896,0.0,0,1,1,0.5
552836167029514240,0.0,0,1,0,0.25
552836204283326465,0.0,0,1,1,0.5
552836392678465537,0.0,0,1,1,0.5
552836444835037184,0.0,0,1,0,0.25
552836516775354368,0.0,0,1,1,0.5
