tweet_id,sentiment_value,ortographic_value,bad_words_value,spam_value,text_credibility

552784600502915072,0,0,[0],1,[0.25]

552784898743099392,0,1,[0],0,[0.25]

552785391653494784,0,0,[0],1,[0.25]

552786116404072448,0,0,[0],0,[0.]

552786299875520512,0,0,[0],1,[0.25]

552786340958715904,0,0,[0],1,[0.25]

552787144373460992,0,0,[0],1,[0.25]

552787144415404032,0,0,[0],1,[0.25]

552787321561812992,0,1,[0],1,[0.5]

552787361437057024,0,1,[0],1,[0.5]

552787599031828480,0,0,[0],1,[0.25]

552787914271510529,0,0,[0],1,[0.25]

552788007603142656,0,1,[0],1,[0.5]

552788555584765952,0,0,[0],1,[0.25]

552788720236376064,0,1,[0],0,[0.25]

552789196906459136,0,1,[0],1,[0.5]

552789252690706432,0,0,[0],1,[0.25]

552789443644751872,0,0,[0],1,[0.25]

552789550238801920,0,1,[0],0,[0.25]

552789583260577792,0,0,[0],0,[0.]

552789886202175490,0,1,[0],1,[0.5]

552790565642067968,0,1,[0],1,[0.5]

552790598823186432,1,1,[0],1,[0.75]

552790695036321793,0,0,[0],1,[0.25]

552791159232540673,0,0,[0],1,[0.25]

552791203432103937,0,1,[0],0,[0.25]

552791332935434242,0,0,[0],1,[0.25]

552791414388424704,0,1,[0],1,[0.5]

552791678881660928,0,1,[1],1,[0.75]

552791719272775680,0.5,0,[0],1,[0.375]

552791831390732289,0.5,0,[0],1,[0.375]

552792131447037952,0,0,[0],1,[0.25]

552792253601947648,0,1,[0],1,[0.5]

552792518870708224,0,0,[0],1,[0.25]

552793409438904321,0,0,[0],1,[0.25]

552793759210307584,0,0,[0],1,[0.25]

552794286849536001,0,0,[0],1,[0.25]

552794514424102913,0,0,[0],1,[0.25]

552794995942772736,0,0,[0],1,[0.25]

552795056080691200,0,0,[0],0,[0.]

552795778922864640,1,0,[0],1,[0.5]

552795953301045248,0,1,[0],1,[0.5]

552796269069209600,0.5,1,[0],1,[0.625]

552796506642591744,0,0,[0],1,[0.25]

552796522904297472,0,0,[0],1,[0.25]

552796619104866304,0.5,0,[0],1,[0.375]

552796625467621376,0,1,[0],1,[0.5]

552796895513681920,0,1,[0],1,[0.5]

552797058990870528,0,0,[0],1,[0.25]

552797114863198208,1,1,[0],1,[0.75]

552797148975464448,0,0,[0],1,[0.25]

552797154692300800,0,0,[0],1,[0.25]

552797170295144449,0.5,0,[0],1,[0.375]

552797729504886784,0,0,[0],1,[0.25]

552797828977029120,0,0,[0],1,[0.25]

552798010196107264,0,0,[0],1,[0.25]

552798016646942721,0,0,[0],1,[0.25]

552798200990806016,0,0,[0],1,[0.25]

552798310889566209,0,0,[0],1,[0.25]

552798640679702528,0,0,[0],1,[0.25]

552798832359374849,0,0,[0],1,[0.25]

552799100715167744,0,1,[0],0,[0.25]

552799606833430528,0,0,[0],1,[0.25]

552799669521481728,0,0,[0],1,[0.25]

552800070199148544,0,0,[0],1,[0.25]

552800222553079809,0,0,[0],1,[0.25]

552800223496790018,0.5,0,[0],1,[0.375]

552800290861510656,0,1,[0],1,[0.5]

552800929519792128,0,0,[0],1,[0.25]

552801028262096896,0,0,[0],1,[0.25]

552801115516186625,0,0,[0],1,[0.25]

552801667855695873,0,1,[0],1,[0.5]

552801724898226176,0,1,[0],1,[0.5]

552801894092275712,0,0,[0],1,[0.25]

552801979861598208,0,0,[0],1,[0.25]

552802011733716992,0,0,[0],0,[0.]

552802098602319873,0.5,1,[0],1,[0.625]

552802099331735552,0,0,[0],1,[0.25]

552802117908697088,0,0,[0],1,[0.25]

