author,created_at,followers,following,verified,verified_type,followers_impact,ffproportion
42921216,2009-05-27 16:45:59+00:00,250453,1574,False,none,0.0016171529882592097,0.9937546373999611
159210283,NaN,NaN,NaN,NaN,NaN,NaN,NaN
411780181,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159210283,NaN,NaN,NaN,NaN,NaN,NaN,NaN
269950830,2011-03-21 19:05:25+00:00,3615,619,False,none,2.334173698281531e-05,0.8538025507794048
23831448,2009-03-11 21:14:50+00:00,19787,998,False,none,0.00012776291830676807,0.9519846042819341
69004966,2009-08-26 15:05:15+00:00,147862,3666,False,none,0.0009547319263493879,0.9758064516129032
18040878,2008-12-11 04:38:55+00:00,301316,280035,True,blue,0.0019455709047618197,0.5183030561571237
401651305,2011-10-30 21:40:11+00:00,19322,3792,True,blue,0.00012476045421354285,0.8359435839750801
954124423,2012-11-17 18:46:39+00:00,367418,3641,True,blue,0.002372385703665847,0.9901875442988851
18294906,2008-12-21 23:02:21+00:00,3798,580,False,none,2.452335188402007e-05,0.8675194152581087
29979814,2009-04-09 13:09:12+00:00,360907,4446,False,none,0.0023303447494486653,0.9878309470566822
37255058,2009-05-02 18:43:10+00:00,13591,347,False,none,8.775589137854575e-05,0.9751040321423446
954124423,2012-11-17 18:46:39+00:00,367418,3641,True,blue,0.002372385703665847,0.9901875442988851
14940354,2008-05-29 03:01:14+00:00,201603,2629,True,blue,0.001301732835669852,0.9871273845430687
18294906,2008-12-21 23:02:21+00:00,3798,580,False,none,2.452335188402007e-05,0.8675194152581087
23645988,2009-03-10 20:13:59+00:00,447844,2185,False,none,0.002891689310465267,0.9951447573378605
293866350,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15727317,2008-08-04 20:24:44+00:00,102671,5959,False,none,0.000662937614872097,0.9451440670164779
14090948,2008-03-06 19:51:29+00:00,114645,2372,True,blue,0.0007402526795006532,0.97972944102139
27754737,2009-03-30 23:04:15+00:00,116527,68348,False,none,0.0007524045879381797,0.6303015551048006
14606079,2008-04-30 21:17:15+00:00,922944,669,False,none,0.005959368215177729,0.9992756706542676
14715424,2008-05-09 16:51:50+00:00,14200,4387,False,none,9.16881508038665e-05,0.7639748211115296
17073325,2008-10-30 20:02:09+00:00,3741,526,False,none,2.4155307898398914e-05,0.876728380595266
41821259,2009-05-22 14:26:36+00:00,11000,2894,False,none,7.102603231285433e-05,0.7917086512163524
17073325,2008-10-30 20:02:09+00:00,3741,526,False,none,2.4155307898398914e-05,0.876728380595266
14940354,2008-05-29 03:01:14+00:00,201603,2629,True,blue,0.001301732835669852,0.9871273845430687
14090948,2008-03-06 19:51:29+00:00,114645,2372,True,blue,0.0007402526795006532,0.97972944102139
147326828,NaN,NaN,NaN,NaN,NaN,NaN,NaN
580183048,2012-05-14 19:47:13+00:00,1523,2276,False,none,9.833877019316105e-06,0.4008949723611477
558251172,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97327765,2009-12-17 01:00:43+00:00,29329,8487,False,none,0.00018937477288215497,0.7755711867992384
14849562,2008-05-20 22:42:46+00:00,631520,10757,False,none,0.004077669084201252,0.9832517745458735
79228319,2009-10-02 16:54:58+00:00,8864,9548,False,none,5.723406822010371e-05,0.48142515750597437
18294906,2008-12-21 23:02:21+00:00,3798,580,False,none,2.452335188402007e-05,0.8675194152581087
7768402,2007-07-27 19:01:55+00:00,194397,9804,False,none,0.001255204327592904,0.9519884819369151
28390516,2009-04-02 18:29:07+00:00,149520,601,False,none,0.0009654374864925436,0.9959965627726967
2468828556,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28683184,2009-04-03 23:21:04+00:00,1296094,312,True,blue,0.008368764938590602,0.9997593346528788
53503202,2009-07-03 21:24:55+00:00,96826,65447,True,blue,0.0006251969640658576,0.5966858319005627
1291770157,2013-03-23 15:38:36+00:00,210017,1020,False,none,0.001356061293477157,0.9951667243184844
133081159,2010-04-15 00:04:59+00:00,13480,0,False,none,8.703917414338876e-05,1.0
14700316,2008-05-08 13:42:20+00:00,5100597,20899,True,business,0.03293410612153162,0.9959193563755591
15249499,2008-06-26 23:33:08+00:00,7018,5206,False,none,4.5314608615601066e-05,0.5741164921465969
1716581,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23995748,2009-03-12 18:09:36+00:00,603328,13529,True,blue,0.003895635820295434,0.9780678504094141
16012783,2008-08-27 15:24:02+00:00,1364538,1031,True,business,0.008810701825465238,0.9992450033648977
63502107,2009-08-06 18:37:01+00:00,1584,2343,False,none,1.0227748653051023e-05,0.40336134453781514
33092289,2009-04-19 02:03:17+00:00,6264,1961,False,none,4.044609694615632e-05,0.761580547112462
21462959,2009-02-21 04:20:44+00:00,44883,1582,False,none,0.000289805582572531,0.9659528677499193
11265832,2007-12-17 21:14:05+00:00,260583,1804,False,business,0.00168256150710732,0.9931246593771795
7768402,2007-07-27 19:01:55+00:00,194397,9804,False,none,0.001255204327592904,0.9519884819369151
29330030,2009-04-06 23:50:23+00:00,1309578,2881,True,blue,0.008455829940382105,0.9978048838097038
97327765,2009-12-17 01:00:43+00:00,29329,8487,False,none,0.00018937477288215497,0.7755711867992384
7768402,2007-07-27 19:01:55+00:00,194397,9804,False,none,0.001255204327592904,0.9519884819369151
1716581,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11265832,2007-12-17 21:14:05+00:00,260583,1804,False,business,0.00168256150710732,0.9931246593771795
15932715,2008-08-21 15:46:25+00:00,159750,893,False,none,0.001031491696543498,0.9944410898700846
11265832,2007-12-17 21:14:05+00:00,260583,1804,False,business,0.00168256150710732,0.9931246593771795
22063600,2009-02-26 21:19:12+00:00,32211,1901,False,none,0.0002079835933481228,0.9442718105065666
1716581,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14090948,2008-03-06 19:51:29+00:00,114645,2372,True,blue,0.0007402526795006532,0.97972944102139
17068692,2008-10-30 16:38:44+00:00,23018,1498,False,none,0.0001486252010706619,0.9388970468265623
26567591,2009-03-25 19:18:25+00:00,79326,950,False,none,0.0005122010035681348,0.9881658278937665
1716581,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29330030,2009-04-06 23:50:23+00:00,1309578,2881,True,blue,0.008455829940382105,0.9978048838097038
14090948,2008-03-06 19:51:29+00:00,114645,2372,True,blue,0.0007402526795006532,0.97972944102139
14090948,2008-03-06 19:51:29+00:00,114645,2372,True,blue,0.0007402526795006532,0.97972944102139
17068692,2008-10-30 16:38:44+00:00,23018,1498,False,none,0.0001486252010706619,0.9388970468265623
7768402,2007-07-27 19:01:55+00:00,194397,9804,False,none,0.001255204327592904,0.9519884819369151
2351100937,2014-02-19 04:05:35+00:00,771,508,False,none,4.978279173928245e-06,0.602814698983581
244452760,2011-01-29 10:17:34+00:00,119618,6527,False,none,0.0007723629030180918,0.9482579571128463
279390084,2011-04-09 05:10:37+00:00,7765599,819,True,blue,0.05014178959115175,0.9998945459798841
279390084,2011-04-09 05:10:37+00:00,7765599,819,True,blue,0.05014178959115175,0.9998945459798841
